,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,negLogP,signif
ENSMUSG00000106549,36.135668968956,-1.04432842511745,0.313772444222015,-3.3282987220462,0.000873781191210133,0.011761986589653,1.92951932009152,TRUE
ENSMUSG00000106631,125.54940167797,-0.894704979455481,0.215886405996176,-4.14433217935607,3.40805429828286e-05,0.000901238792700152,3.04516012288138,TRUE
ENSMUSG00000106632,40.0647849126768,-1.34346839966104,0.296426908839279,-4.53220797302671,5.83703390498155e-06,0.000206391771813566,3.68530762064558,TRUE
ENSMUSG00000106634,119.193788490985,-0.741270148234686,0.211454866960482,-3.50557146728252,0.000455628160251552,0.00718784353475171,2.14340138519878,TRUE
ENSMUSG00000106665,27.0564575896184,-2.17387689322719,0.424072859433806,-5.12618726916316,2.95668525901216e-07,1.48515423352051e-05,4.82822844244867,TRUE
ENSMUSG00000106671,32.8886088026867,-1.00779710599592,0.333828569066086,-3.01890610745304,0.00253689140867911,0.0258922131890958,1.58683082578254,TRUE
ENSMUSG00000106688,33.6155415133446,-1.23638612397061,0.443120780288504,-2.79017861262483,0.00526789713482166,0.0432767079196015,1.36374578363924,TRUE
ENSMUSG00000106714,49.0141831364037,-1.1721517089779,0.285861181419715,-4.10042281066799,4.12395976522968e-05,0.00105988971116479,2.97473932372062,TRUE
ENSMUSG00000106717,12.1445322538361,-1.73930820450701,0.590035117800118,-2.94780454931535,0.00320039338695866,0.0307055150825178,1.5127836129661,TRUE
ENSMUSG00000106734,64.7010222135622,-0.856557605152357,0.247535950389428,-3.46033618068328,0.000539501387236994,0.00809700985186777,2.09167533230475,TRUE
ENSMUSG00000106858,6.02114456173992,-2.48435832604888,0.829890455505603,-2.99359790146677,0.00275709037874809,0.0275445267898998,1.55996468432898,TRUE
ENSMUSG00000106864,1025.76310213096,-0.49754797141241,0.0961220540650511,-5.17621035309641,2.26438146952228e-07,1.16392727297387e-05,4.93407415536731,TRUE
ENSMUSG00000106870,63.5323845691203,-0.781625306964447,0.249943646690898,-3.12720614151505,0.00176476141290914,0.0198270844810478,1.70274114292447,TRUE
ENSMUSG00000106904,7.18370092353875,-4.69206772630726,1.15511570139961,-4.06198939259684,4.86562885219905e-05,0.00121892603606668,2.91402264639364,TRUE
ENSMUSG00000106943,44.9629187236788,-1.06000818591539,0.320582967305296,-3.30650188569105,0.000944687146418234,0.0124376494174414,1.90526168889703,TRUE
ENSMUSG00000106944,89.8454850363328,-1.60258837390521,0.249279964727395,-6.428869546968,1.28556392484371e-10,1.60420590143548e-08,7.79473989034219,TRUE
ENSMUSG00000106948,226.067131777508,-0.789585750977763,0.146867421357004,-5.37618039237203,7.60825671449458e-08,4.53319584000862e-06,5.34359551844454,TRUE
ENSMUSG00000106965,10.200746966518,-1.92213134098203,0.698821708327392,-2.75053181387652,0.00594986137438085,0.046867265648075,1.3291303835524,TRUE
ENSMUSG00000106995,21.8824182262863,-1.57964459248873,0.463910731048922,-3.4050615490551,0.000661491428454789,0.00946261819176025,2.02398868295198,TRUE
ENSMUSG00000107000,64.0605099624188,-1.64338691818477,0.304087957191366,-5.40431437457607,6.50567559818652e-08,3.9473733805388e-06,5.40369179191251,TRUE
ENSMUSG00000107029,4.81318231780982,-2.98262255730959,1.06476746647606,-2.80119617777281,0.00509135576760824,0.0421433415874489,1.37527103172143,TRUE
ENSMUSG00000107050,30.8372879285444,-1.27326943294899,0.457971020681041,-2.78024017994748,0.00543187072437145,0.0441796695578345,1.35477753676123,TRUE
ENSMUSG00000107068,943.895841128613,-0.816590303634272,0.213247376905401,-3.82930995674812,0.000128503073920116,0.00270948936200745,2.5671125497745,TRUE
ENSMUSG00000107086,39.1737432060832,-1.66274117222415,0.427314562954944,-3.89114089799805,9.97739710686e-05,0.00220447144763039,2.65669552179428,TRUE
ENSMUSG00000107094,38.3863581569846,-1.04556934493512,0.366938915012561,-2.84943706474776,0.00437966696520523,0.0379794459163624,1.42045137549215,TRUE
ENSMUSG00000107096,299.888215561907,-0.944449817667832,0.171845264586666,-5.49593158670672,3.88653170619205e-08,2.48750566395344e-06,5.6042359217095,TRUE
ENSMUSG00000107116,3.16397244583249,-3.4426296817162,1.2551345297013,-2.74283720210892,0.00609108752222463,0.04747671950201,1.32351929711835,TRUE
ENSMUSG00000107120,8.8163137024159,-2.13148535754897,0.70337605440022,-3.03036383484297,0.00244259297999569,0.0252464778972975,1.59779920116757,TRUE
ENSMUSG00000107182,172.201744244841,-0.996613691149257,0.201916024212722,-4.9357830565211,7.98298067750881e-07,3.59977999141937e-05,4.44372404129724,TRUE
ENSMUSG00000107216,5.29669781152235,-2.78140401100336,0.93326478187864,-2.98029462271624,0.00287971267667006,0.0284969472408033,1.54520166165762,TRUE
ENSMUSG00000107276,18.8928652628179,-1.40494150740944,0.492259624845689,-2.85406609946906,0.00431635495066856,0.0376277673884951,1.42449154940859,TRUE
ENSMUSG00000107306,72.5922175841172,-0.718283073361903,0.235509182016203,-3.04991536725937,0.00228905860649579,0.0240389808484458,1.61908394853613,TRUE
ENSMUSG00000107355,87.5266277178007,-0.869393473802574,0.225212525645092,-3.86032469247574,0.0001132364569158,0.00244178115511032,2.61229326233503,TRUE
ENSMUSG00000107495,388.092426079774,-0.929721740459518,0.118594427846833,-7.83950609939509,4.52321989986438e-15,1.60259296487873e-12,11.7951767680726,TRUE
ENSMUSG00000107524,10.1229973541424,-2.19826639037333,0.702745706900919,-3.12811073591271,0.00175933883161282,0.019788572425187,1.70358553526438,TRUE
ENSMUSG00000107560,12.6647826855137,-2.61296737062848,0.63024133288153,-4.14597906278492,3.3836474673239e-05,0.000897526061486276,3.04695293194702,TRUE
ENSMUSG00000107577,47.3711668348913,-1.73784013661776,0.367321390033373,-4.73111608463605,2.23288781224841e-06,8.63600917793777e-05,4.06368690479014,TRUE
ENSMUSG00000107620,12.2734748732016,-2.38311640615712,0.57089519607489,-4.17435007781097,2.98837934116779e-05,0.000810005935903142,3.09151179850341,TRUE
ENSMUSG00000107632,54.2356912690767,-2.01429427766984,0.275096314011288,-7.3221420101877,2.44043686935089e-13,5.80325794740007e-11,10.2363281251717,TRUE
ENSMUSG00000107633,20.2865985731911,-1.57340827704286,0.503660893755737,-3.12394370210112,0.00178444595616382,0.0199690875444141,1.69964177906918,TRUE
ENSMUSG00000107726,15.0896403310849,-1.4476925672005,0.445046887692035,-3.252898980393,0.00114234100639923,0.0142458754921226,1.84631085567588,TRUE
ENSMUSG00000107743,97.7268934509439,-0.668780885290245,0.183572793148631,-3.64313727442585,0.000269335103171802,0.00484925388569121,2.31432507753259,TRUE
ENSMUSG00000107756,14.5536729375999,-1.89017483294222,0.593275077839732,-3.18600073312506,0.00144254231710669,0.0171283555438144,1.76628433070229,TRUE
ENSMUSG00000107802,3.44862718452579,-4.36397056522379,1.32018926094638,-3.30556435680705,0.00094785333675479,0.0124545417579813,1.90467224690236,TRUE
ENSMUSG00000107815,28.5065419393707,-1.16986713697959,0.356533772542387,-3.28122390380427,0.00103357659873379,0.0132904687592205,1.87645970107739,TRUE
ENSMUSG00000107877,399.625808185327,-1.40946010071414,0.380815920603985,-3.70115855051096,0.000214617314944202,0.0040787568446436,2.38947218440518,TRUE
ENSMUSG00000107937,9.02788777156767,-2.7401394685493,0.925741279959529,-2.95994089047114,0.00307698073095595,0.0298388928068901,1.52521729570269,TRUE
ENSMUSG00000107944,27.4361277886741,-1.19722458598951,0.419064003842617,-2.85690151149115,0.00427798557235435,0.0374720092609413,1.42629301927492,TRUE
ENSMUSG00000107962,136.99112587349,-1.77010394666317,0.210048743738902,-8.42711037045515,3.54305642016838e-17,1.89994006574489e-14,13.7212600987981,TRUE
ENSMUSG00000108026,11.4861884278151,-1.32569389708718,0.486277774150963,-2.72620705193001,0.00640667952865483,0.0493420125492407,1.30678314059406,TRUE
ENSMUSG00000108037,82.765030614739,-1.35757968176432,0.288636246765363,-4.70342757355736,2.55829874401459e-06,9.76138564999874e-05,4.01048852890766,TRUE
ENSMUSG00000108049,95.397933147462,-2.27962742536339,0.391590162092635,-5.82146245243035,5.83349118355378e-09,4.85777622570433e-07,6.31356249491997,TRUE
