"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000148",379.041358680321,-0.128640665655639,0.0892009263845292,-1.44214495151196,0.14926148623339,0.556237561522014
"ENSMUSG00000000149",2636.16976400029,0.203212937811382,0.090354968650512,2.24905105769444,0.0245092478515036,0.265362288900333
"ENSMUSG00000000154",14.9331278880487,0.662220236033271,0.472870811440731,1.40042527475028,0.161386005754044,NA
"ENSMUSG00000000159",11.6745226199945,0.272873762066435,0.377898952763179,0.722081286733385,0.470244502660627,NA
"ENSMUSG00000000167",31.6144476765012,0.387988531355249,0.267706151992381,1.44930749057381,0.147251730156035,NA
"ENSMUSG00000000168",2220.72325854485,-0.0280450004561276,0.0798277774474809,-0.351318818497465,0.725349178506514,0.930010483369741
"ENSMUSG00000000171",1220.54758441864,0.172115898601548,0.111734130148202,1.54040576834721,0.12346147622938,0.515808509598373
"ENSMUSG00000000184",1639.0148756302,-0.113702886238952,0.120036655059645,-0.947234710784417,0.343519191585602,0.752998161259536
"ENSMUSG00000000194",979.400764668113,0.0493514414542129,0.0763067627796238,0.646750558620097,0.517793395618592,0.852642976838098
"ENSMUSG00000000197",2010.0776182235,-0.0932745215519631,0.0794277973052293,-1.17433096115612,0.24026248656834,0.664090422644806
"ENSMUSG00000000202",333.1240677058,0.26382678574584,0.128399455320842,2.05473446196945,0.0399046594190695,0.320632223332249
"ENSMUSG00000000214",13.0679775155181,-0.011124730457799,0.356029478858416,-0.0312466554552441,0.975072832389319,NA
"ENSMUSG00000000215",6.2499395705625,0.0549594062835993,0.858863959632893,0.0639908167844076,0.948977538966839,NA
"ENSMUSG00000000223",1204.1911757674,-0.0792659841239682,0.0902895518577806,-0.877908711395797,0.379993261307198,0.779500441373552
"ENSMUSG00000000244",6.38988335231149,0.355753592536419,0.561575751779987,0.633491726465774,0.526412582004055,NA
"ENSMUSG00000000247",1473.19240696621,0.0759080199187049,0.0915579161101465,0.829071074830772,0.407064190139998,0.798022140335217
"ENSMUSG00000000253",879.305298128417,0.0843832539495983,0.0875465067350553,0.963867744089093,0.33511223736028,0.746502937418379
"ENSMUSG00000000266",519.546767083875,-0.00185622566278433,0.121453913827924,-0.015283374609189,0.987806106075629,0.996727149021138
"ENSMUSG00000000275",241.796072119298,0.083774385938247,0.127572969674879,0.656678183095894,0.511387865509486,0.849491844277197
"ENSMUSG00000000276",1733.31661388086,-0.118130500644779,0.0720605414857802,-1.63932296662093,0.101146015380759,0.47446245622403
"ENSMUSG00000000278",337.449287684463,0.248855371798151,0.107043676136839,2.32480218149485,0.0200825403132985,0.247961052724528
"ENSMUSG00000000282",905.041069401662,-0.0511918769337454,0.0816321147442161,-0.6271046278067,0.530590653803523,0.857307008238738
"ENSMUSG00000000290",311.707599903985,0.481143974478565,0.12321133389965,3.90503015632016,9.42136358778232e-05,0.0249239507291124
"ENSMUSG00000000295",160.742994209319,0.00257566542255612,0.123702922916955,0.0208213788471694,0.983388143581067,0.9963226917765
"ENSMUSG00000000296",425.943632046108,0.117353646651597,0.105532337984189,1.11201598385112,0.266131277984934,0.690749101930167
"ENSMUSG00000000301",28.1101120080809,-0.258075923161361,0.258060412546085,-1.00006010458994,0.317281421634698,NA
"ENSMUSG00000000303",20.6413863474852,0.945240224413694,0.360052369060797,2.62528539078738,0.00865763671747463,NA
"ENSMUSG00000000305",210.404779390789,-0.126951686518299,0.149752062865908,-0.84774582792876,0.396579538126744,0.789576060755586
"ENSMUSG00000000308",2921.33363246478,0.0179183687088526,0.111719198914251,0.160387550958056,0.872575795568009,0.969247882776956
"ENSMUSG00000000317",40.9520882242763,0.0153910619577034,0.230351906452496,0.0668154312014664,0.946728638539567,0.987160334782058
"ENSMUSG00000000318",8.91993064458816,0.592825292526581,0.416953278986777,1.42180268726315,0.155083539270226,NA
"ENSMUSG00000000320",13.7935697516552,-0.0386439681536807,0.29025719211986,-0.133136987481512,0.894085043733736,NA
"ENSMUSG00000000326",1328.574440848,0.126650155938671,0.0758822813832502,1.66903463667642,0.0951105156607868,0.463445605111089
"ENSMUSG00000000339",718.852068807699,0.0211070120415871,0.094999504907383,0.222180232014522,0.824173582119217,0.959699177385062
