"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000042978",2012.07991728077,0.0469547442169603,0.159223973091875,0.294897453600574,0.768072217225021,0.99996136497536
"ENSMUSG00000042988",33.8313504406082,0.538026257869607,0.317292669812415,1.69567818313512,0.0899468423958444,0.99996136497536
"ENSMUSG00000042992",692.311086951277,-0.111194271202195,0.168993359464444,-0.657980121553771,0.510550904610046,0.99996136497536
"ENSMUSG00000042997",243.39937986731,0.318272054365323,0.141385307646439,2.25109708825774,0.0243793888090255,0.873183502677734
"ENSMUSG00000043004",4933.77465032984,-0.269286692346819,0.0981576933569972,-2.74340892840085,0.00608049119951342,0.630441664707875
"ENSMUSG00000043008",87.6538179677473,0.405148366110684,0.272181604549047,1.48852221950098,0.136613226856773,0.99996136497536
"ENSMUSG00000043013",11.100354937985,0.512042559720129,0.743317255647346,0.688861392399936,0.490910497086337,0.99996136497536
"ENSMUSG00000043015",112.309693962203,0.0809375617968607,0.295738803312397,0.273679209120773,0.784331156670429,0.99996136497536
"ENSMUSG00000043019",1109.53283868017,-0.279313885497336,0.133733161904265,-2.08859105340892,0.0367445512230474,0.94944726007952
"ENSMUSG00000043020",25.9020111071015,-0.10995691614496,1.30736372244054,-0.0841058339447389,0.932972286264449,0.99996136497536
"ENSMUSG00000043029",22.9671431562408,0.259871073302044,0.425571587811026,0.610640091456103,0.54143787498996,0.99996136497536
"ENSMUSG00000043036",4.90222924011576,-0.0118096126763864,0.764939734227953,-0.0154386184269873,0.98768225404331,0.99996136497536
"ENSMUSG00000043051",16.4860975331544,0.191536536834893,0.571364976687578,0.335226247057186,0.737454424076601,0.99996136497536
"ENSMUSG00000043059",378.949183260866,0.0369870507188078,0.139081059870894,0.265938803983391,0.790286339547859,0.99996136497536
"ENSMUSG00000043061",809.4622970043,-0.177574354010055,0.142212597303211,-1.24865417956926,0.211791586683623,0.99996136497536
"ENSMUSG00000043065",209.777195085418,-0.0548650444881603,0.156257486419133,-0.351119461508518,0.725498728140201,0.99996136497536
"ENSMUSG00000043067",1654.76975594599,0.052316403690882,0.180709287244469,0.289505893629621,0.772194270442795,0.99996136497536
"ENSMUSG00000043068",25.2809271363679,0.117040550912346,0.348790690996951,0.335560993837905,0.737201942427197,0.99996136497536
"ENSMUSG00000043079",3470.61577076139,-0.0735047767996424,0.117742489160511,-0.624284209750638,0.532440952000423,0.99996136497536
"ENSMUSG00000043085",8.12548857069508,0.322605616018483,0.730278307971142,0.441757084247436,0.658664996789763,0.99996136497536
"ENSMUSG00000043088",8.85640600549536,-0.0493317263102583,0.716753410585525,-0.0688266363043304,0.945127615652562,0.99996136497536
"ENSMUSG00000043090",396.548601050161,-0.190784701231093,0.132084377596168,-1.4444153404303,0.148622178122037,0.99996136497536
"ENSMUSG00000043091",100.820103795806,0.685457867227603,0.429418859069033,1.59624537383769,0.11043402086664,0.99996136497536
"ENSMUSG00000043099",71.084081413365,0.532965463775859,0.338088828056099,1.57640661136376,0.114932125708229,0.99996136497536
